airline,flight,source_city,destination_city,one_way,stops,class,class_code,capacity,duration,departure_time,arrival_time,days_left,season_label,weekday,hour,departure_period,season_base_mult,event_mult,weekday_mult,period_mult,stop_mult,demand_index,base_price,price,seat_sold,residual_capacity,optimal_price,optimal_revenue,expected_units,kept_current_price,current_expected_revenue,pct_change_vs_current_price
Emirates,EK864,Muscat,London (LHR),True,1 Stop (DXB),First,2,8,10.3,2023-08-01 18:01:00,2023-08-02 04:19:00,96,Summer,1,18,Afternoon,1.15,1.0,0.96,1.06,0.97,0.986,1900.0,1908.12,2,6,2090.0,1201.998010699498,0.5751186654064584,False,1148.506474169319,9.531895268641392
Emirates,EK864,Muscat,London (LHR),True,1 Stop (DXB),Business,1,30,10.3,2023-08-01 18:01:00,2023-08-02 04:19:00,135,Summer,1,18,Afternoon,1.15,1.0,0.96,1.06,0.97,1.071,850.0,766.22,8,22,935.0000000000001,2047.0426690812862,2.1893504482152792,False,1967.1400019620892,22.02761608937382
Emirates,EK864,Muscat,London (LHR),True,1 Stop (DXB),Economy,0,240,10.3,2023-08-01 18:01:00,2023-08-02 04:19:00,94,Summer,1,18,Afternoon,1.15,1.0,0.96,1.06,0.97,1.033,250.0,150.0,127,113,150.0,3657.2338077638183,24.381558718425456,True,3657.2338077638183,0.0
Qatar Airways,QR113,Muscat,London (LHR),True,1 Stop (DOH),Economy,0,240,10.2,2023-08-01 20:48:00,2023-08-02 07:00:00,83,Summer,1,20,Evening,1.15,1.0,0.96,1.05,0.97,1.037,250.0,283.95,101,139,225.0,3898.6919652310116,17.327519845471162,False,3552.181769621432,-20.760697305863705
Qatar Airways,QR113,Muscat,London (LHR),True,1 Stop (DOH),Business,1,30,10.2,2023-08-01 20:48:00,2023-08-02 07:00:00,111,Summer,1,20,Evening,1.15,1.0,0.96,1.05,0.97,1.034,850.0,998.44,4,26,998.44,2381.8313839294833,2.38555284636982,True,2381.8313839294833,0.0
Qatar Airways,QR113,Muscat,London (LHR),True,1 Stop (DOH),First,2,8,10.2,2023-08-01 20:48:00,2023-08-02 07:00:00,65,Summer,1,20,Evening,1.15,1.0,0.96,1.05,0.97,0.878,1900.0,1701.35,2,6,2090.0,1143.8172401248285,0.5472809761362816,False,1032.001498252852,22.843624180797608
Oman Air,WY101,Muscat,London (LHR),True,Direct,Economy,0,240,7.9,2023-08-02 08:35:00,2023-08-02 16:29:00,9,Summer,2,8,Morning,1.15,1.0,0.96,1.03,1.12,1.256,250.0,251.51,159,81,225.0,5131.906413922127,22.80847295076501,False,4908.283419451364,-10.540336368335252
Oman Air,WY101,Muscat,London (LHR),True,Direct,First,2,8,7.9,2023-08-02 08:35:00,2023-08-02 16:29:00,4,Summer,2,8,Morning,1.15,1.0,0.96,1.03,1.12,1.021,1900.0,2207.78,3,5,2394.0,2265.0674148226594,0.9461434481297659,False,2175.1887916396727,8.434717227259952
Oman Air,WY101,Muscat,London (LHR),True,Direct,Business,1,30,7.9,2023-08-02 08:35:00,2023-08-02 16:29:00,111,Summer,2,8,Morning,1.15,1.0,0.96,1.03,1.12,1.188,850.0,626.6,8,22,935.0000000000001,2285.357654123729,2.444232785159068,False,2109.55052725176,49.21800191509736
Etihad Airways,EY342,Muscat,London (LHR),True,1 Stop (AUH),Business,1,30,10.1,2023-08-02 12:24:00,2023-08-02 22:30:00,75,Summer,2,12,Morning,1.15,1.0,0.96,1.03,0.97,1.018,850.0,739.77,12,18,1062.5,1718.437098153657,1.6173525629681478,False,1598.406346010999,43.625721508036285
Etihad Airways,EY342,Muscat,London (LHR),True,1 Stop (AUH),First,2,8,10.1,2023-08-02 12:24:00,2023-08-02 22:30:00,167,Summer,2,12,Morning,1.15,1.0,0.96,1.03,0.97,0.868,1900.0,1300.0,2,6,2090.0,1038.4059996516153,0.49684497590986376,False,818.9657166487705,60.76923076923077
Etihad Airways,EY342,Muscat,London (LHR),True,1 Stop (AUH),Economy,0,240,10.1,2023-08-02 12:24:00,2023-08-02 22:30:00,99,Summer,2,12,Morning,1.15,1.0,0.96,1.03,0.97,1.095,250.0,150.0,98,142,150.0,4848.997251601761,32.32664834401174,True,4848.997251601761,0.0
Gulf Air,GF567,Muscat,London (LHR),True,1 Stop (BAH),Economy,0,240,10.0,2023-08-02 13:19:00,2023-08-02 23:19:00,58,Summer,2,13,Afternoon,1.15,1.0,0.96,1.06,0.97,0.969,250.0,275.68,100,140,225.0,3980.2688033953937,17.690083570646195,False,3669.638688893528,-18.383633197910623
Gulf Air,GF567,Muscat,London (LHR),True,1 Stop (BAH),First,2,8,10.0,2023-08-02 13:19:00,2023-08-02 23:19:00,59,Summer,2,13,Afternoon,1.15,1.0,0.96,1.06,0.97,0.974,1900.0,2373.58,1,7,2373.58,1620.7218129163582,0.6828174373378434,True,1620.7218129163582,0.0
Gulf Air,GF567,Muscat,London (LHR),True,1 Stop (BAH),Business,1,30,10.0,2023-08-02 13:19:00,2023-08-02 23:19:00,30,Summer,2,13,Afternoon,1.15,1.0,0.96,1.06,0.97,0.978,850.0,876.24,12,18,1062.5,2249.6615634654727,2.117328530320445,False,2164.5918326107153,21.256733315073497
Oman Air,WY223,Muscat,London (LHR),True,1 Stop (FRA),First,2,8,10.2,2023-08-02 14:49:00,2023-08-03 01:01:00,41,Summer,2,14,Afternoon,1.15,1.0,0.96,1.06,0.97,0.935,1900.0,1839.76,2,6,2280.0,1487.2466591977868,0.6523011663148188,False,1335.9683349791524,23.929208157585773
Oman Air,WY223,Muscat,London (LHR),True,1 Stop (FRA),Business,1,30,10.2,2023-08-02 14:49:00,2023-08-03 01:01:00,21,Summer,2,14,Afternoon,1.15,1.0,0.96,1.06,0.97,1.193,850.0,844.97,18,12,1062.5,2064.0062898024053,1.942594155108146,False,1971.5758357145983,25.744109258316858
Oman Air,WY223,Muscat,London (LHR),True,1 Stop (FRA),Economy,0,240,10.2,2023-08-02 14:49:00,2023-08-03 01:01:00,54,Summer,2,14,Afternoon,1.15,1.0,0.96,1.06,0.97,1.212,250.0,188.13,139,101,188.13,3947.14826713849,20.980961394453253,True,3947.14826713849,0.0
Emirates,EK864,Muscat,London (LHR),True,1 Stop (DXB),First,2,8,10.3,2023-08-02 16:27:00,2023-08-03 02:45:00,122,Summer,2,16,Afternoon,1.15,1.0,0.96,1.06,0.97,0.957,1900.0,1588.44,1,7,2090.0,1342.104104321252,0.6421550738379196,False,1170.0339644445073,31.575633955327234
Emirates,EK864,Muscat,London (LHR),True,1 Stop (DXB),Business,1,30,10.3,2023-08-02 16:27:00,2023-08-03 02:45:00,126,Summer,2,16,Afternoon,1.15,1.0,0.96,1.06,0.97,1.06,850.0,886.15,3,27,935.0000000000001,2490.4245389322305,2.663555656612011,False,2463.8400651715997,5.512610731817428
Emirates,EK864,Muscat,London (LHR),True,1 Stop (DXB),Economy,0,240,10.3,2023-08-02 16:27:00,2023-08-03 02:45:00,146,Summer,2,16,Afternoon,1.15,1.0,0.96,1.06,0.97,1.247,250.0,165.9,56,184,165.9,6769.628059531878,40.805473535454354,True,6769.628059531878,0.0
Qatar Airways,QR113,Muscat,London (LHR),True,1 Stop (DOH),Economy,0,240,10.2,2023-08-02 22:48:00,2023-08-03 09:00:00,150,Summer,2,22,Evening,1.15,1.0,0.96,1.05,0.97,1.125,250.0,151.06,59,181,151.06,6235.3825087081805,41.277522234265724,True,6235.3825087081805,0.0
Qatar Airways,QR113,Muscat,London (LHR),True,1 Stop (DOH),Business,1,30,10.2,2023-08-02 22:48:00,2023-08-03 09:00:00,100,Summer,2,22,Evening,1.15,1.0,0.96,1.05,0.97,1.085,850.0,918.82,9,21,1062.5,2057.645385490428,1.9366074216380498,False,1998.714811520208,15.637448031170408
Qatar Airways,QR113,Muscat,London (LHR),True,1 Stop (DOH),First,2,8,10.2,2023-08-02 22:48:00,2023-08-03 09:00:00,154,Summer,2,22,Evening,1.15,1.0,0.96,1.05,0.97,0.908,1900.0,1472.19,2,6,2090.0,1086.8223416900257,0.52001068980384,False,912.1522762416074,41.96537131756091
Oman Air,WY223,Muscat,London (LHR),True,1 Stop (FRA),First,2,8,10.2,2023-08-04 08:35:00,2023-08-04 18:47:00,71,Summer,4,8,Morning,1.15,1.0,1.07,1.03,0.97,1.049,1900.0,1632.1,2,6,2090.0,1338.2796432680386,0.6403251881665256,False,1182.6251518165595,28.0558789289872
Oman Air,WY223,Muscat,London (LHR),True,1 Stop (FRA),Economy,0,240,10.2,2023-08-04 08:35:00,2023-08-04 18:47:00,84,Summer,4,8,Morning,1.15,1.0,1.07,1.03,0.97,1.326,250.0,182.51,115,125,182.51,4866.169531427192,26.662481680056942,True,4866.169531427192,0.0
Oman Air,WY223,Muscat,London (LHR),True,1 Stop (FRA),Business,1,30,10.2,2023-08-04 08:35:00,2023-08-04 18:47:00,50,Summer,4,8,Morning,1.15,1.0,1.07,1.03,0.97,1.091,850.0,1046.2,11,19,1062.5,2177.803372756354,2.04969729200598,False,2171.0799740765706,1.5580194991397394
Qatar Airways,QR113,Muscat,London (LHR),True,1 Stop (DOH),First,2,8,10.2,2023-08-04 12:59:00,2023-08-04 23:11:00,82,Summer,4,12,Morning,1.15,1.0,1.07,1.03,0.97,1.051,1900.0,1614.48,1,7,2090.0,1523.4173955588467,0.7289078447649984,False,1338.943039883683,29.453446310886477
Qatar Airways,QR113,Muscat,London (LHR),True,1 Stop (DOH),Economy,0,240,10.2,2023-08-04 12:59:00,2023-08-04 23:11:00,35,Summer,4,12,Morning,1.15,1.0,1.07,1.03,0.97,1.089,250.0,177.12,148,92,177.12,3896.4074951492944,21.998687303236757,True,3896.4074951492944,0.0
Gulf Air,GF567,Muscat,London (LHR),True,1 Stop (BAH),Business,1,30,10.0,2023-08-04 13:01:00,2023-08-04 23:01:00,124,Summer,4,13,Afternoon,1.15,1.0,1.07,1.06,0.97,1.149,850.0,927.85,7,23,935.0000000000001,2300.653520226512,2.4605920002422583,False,2297.124061098581,0.770598695909909
Gulf Air,GF567,Muscat,London (LHR),True,1 Stop (BAH),Economy,0,240,10.0,2023-08-04 13:01:00,2023-08-04 23:01:00,7,Summer,4,13,Afternoon,1.15,1.0,1.07,1.06,0.97,1.276,250.0,350.0,153,87,225.0,5766.707853333286,25.629812681481273,False,4832.520886084413,-35.714285714285715
Gulf Air,GF567,Muscat,London (LHR),True,1 Stop (BAH),First,2,8,10.0,2023-08-04 13:01:00,2023-08-04 23:01:00,29,Summer,4,13,Afternoon,1.15,1.0,1.07,1.06,0.97,1.013,1900.0,1908.2,4,4,2280.0,1227.9372008899375,0.5385689477587445,False,1123.364457472876,19.484330782936794
Etihad Airways,EY342,Muscat,London (LHR),True,1 Stop (AUH),Business,1,30,10.1,2023-08-04 17:56:00,2023-08-05 04:02:00,14,Summer,4,17,Afternoon,1.15,1.0,1.07,1.06,0.97,1.236,850.0,856.16,18,12,1062.5,2368.0531488027295,2.22875590475551,False,2267.9665478205316,24.100635395253228
Etihad Airways,EY342,Muscat,London (LHR),True,1 Stop (AUH),Economy,0,240,10.1,2023-08-04 17:56:00,2023-08-05 04:02:00,146,Summer,4,17,Afternoon,1.15,1.0,1.07,1.06,0.97,1.287,250.0,272.95,47,193,220.0,6546.1487489206065,29.755221586002758,False,6005.120168305842,-19.39915735482689
Etihad Airways,EY342,Muscat,London (LHR),True,1 Stop (AUH),First,2,8,10.1,2023-08-04 17:56:00,2023-08-05 04:02:00,173,Summer,4,17,Afternoon,1.15,1.0,1.07,1.06,0.97,1.199,1900.0,2128.06,0,8,2128.06,1929.5692542331453,0.9067269034863422,True,1929.5692542331453,0.0
Oman Air,WY101,Muscat,London (LHR),True,Direct,First,2,8,7.9,2023-08-04 18:55:00,2023-08-05 02:49:00,5,Summer,4,18,Afternoon,1.15,1.0,1.07,1.06,1.12,1.165,1900.0,2500.0,3,5,2500.0,2603.520760340798,1.0414083041363191,True,2603.520760340798,0.0
Oman Air,WY101,Muscat,London (LHR),True,Direct,Business,1,30,7.9,2023-08-04 18:55:00,2023-08-05 02:49:00,150,Summer,4,18,Afternoon,1.15,1.0,1.07,1.06,1.12,1.447,850.0,817.61,5,25,935.0000000000001,3138.2084365127953,3.356372659371973,False,3055.1230183004636,14.35770110443856
Oman Air,WY101,Muscat,London (LHR),True,Direct,Economy,0,240,7.9,2023-08-04 18:55:00,2023-08-05 02:49:00,117,Summer,4,18,Afternoon,1.15,1.0,1.07,1.06,1.12,1.267,250.0,198.45,69,171,198.45,5981.514330923518,30.14116568870506,True,5981.514330923518,0.0
Emirates,EK864,Muscat,London (LHR),True,1 Stop (DXB),First,2,8,10.3,2023-08-04 21:24:00,2023-08-05 07:42:00,156,Summer,4,21,Evening,1.15,1.0,1.07,1.05,0.97,1.054,1900.0,1688.36,1,7,2090.0,1471.6864096094018,0.7041561768466037,False,1322.7405379520912,23.78876542917388
Emirates,EK864,Muscat,London (LHR),True,1 Stop (DXB),Economy,0,240,10.3,2023-08-04 21:24:00,2023-08-05 07:42:00,101,Summer,4,21,Evening,1.15,1.0,1.07,1.05,0.97,1.261,250.0,323.39,49,191,225.0,6376.453366531149,28.339792740138442,False,5515.203740101344,-30.424564766999595
Emirates,EK864,Muscat,London (LHR),True,1 Stop (DXB),Business,1,30,10.3,2023-08-04 21:24:00,2023-08-05 07:42:00,13,Summer,4,21,Evening,1.15,1.0,1.07,1.05,0.97,1.144,850.0,997.53,16,14,1062.5,2595.274617077327,2.4426114043080727,False,2562.7292426827485,6.513087325694468
Etihad Airways,EY342,Muscat,London (LHR),True,1 Stop (AUH),Economy,0,240,10.1,2023-08-05 08:01:00,2023-08-05 18:07:00,32,Summer,5,8,Morning,1.15,1.0,1.0,1.03,0.97,1.149,250.0,255.92,135,105,225.0,4414.263479449011,19.618948797551162,False,4192.659258188189,-12.0819005939356
Etihad Airways,EY342,Muscat,London (LHR),True,1 Stop (AUH),First,2,8,10.1,2023-08-05 08:01:00,2023-08-05 18:07:00,64,Summer,5,8,Morning,1.15,1.0,1.0,1.03,0.97,1.055,1900.0,2266.29,3,5,2280.0,1201.110906890113,0.5268030293377689,False,1197.4942270092822,0.6049534702090217
Etihad Airways,EY342,Muscat,London (LHR),True,1 Stop (AUH),Business,1,30,10.1,2023-08-05 08:01:00,2023-08-05 18:07:00,43,Summer,5,8,Morning,1.15,1.0,1.0,1.03,0.97,1.131,850.0,1043.3,13,17,1062.5,2136.7792644846836,2.01108636657382,False,2129.000259283388,1.840314387041124
Oman Air,WY223,Muscat,London (LHR),True,1 Stop (FRA),First,2,8,10.2,2023-08-05 13:58:00,2023-08-06 00:10:00,40,Summer,5,13,Afternoon,1.15,1.0,1.0,1.06,0.97,0.926,1900.0,2500.0,2,6,2500.0,1557.3254987478917,0.6229301994991567,True,1557.3254987478917,0.0
Oman Air,WY223,Muscat,London (LHR),True,1 Stop (FRA),Business,1,30,10.2,2023-08-05 13:58:00,2023-08-06 00:10:00,123,Summer,5,13,Afternoon,1.15,1.0,1.0,1.06,0.97,1.145,850.0,729.05,6,24,935.0000000000001,2392.916529409252,2.559269015410964,False,2276.7570515548905,28.24909128317676
Oman Air,WY223,Muscat,London (LHR),True,1 Stop (FRA),Economy,0,240,10.2,2023-08-05 13:58:00,2023-08-06 00:10:00,82,Summer,5,13,Afternoon,1.15,1.0,1.0,1.06,0.97,1.164,250.0,282.92,81,159,225.0,5014.888949219071,22.28839532986254,False,4575.819321949877,-20.472218294924364
Qatar Airways,QR113,Muscat,London (LHR),True,1 Stop (DOH),Business,1,30,10.2,2023-08-05 18:07:00,2023-08-06 04:19:00,110,Summer,5,18,Afternoon,1.15,1.0,1.0,1.06,0.97,1.051,850.0,763.94,6,24,935.0000000000001,2206.6485351104566,2.360051909209044,False,2119.2524510747835,22.39181087519963
Qatar Airways,QR113,Muscat,London (LHR),True,1 Stop (DOH),First,2,8,10.2,2023-08-05 18:07:00,2023-08-06 04:19:00,1,Summer,5,18,Afternoon,1.15,1.0,1.0,1.06,0.97,1.064,1900.0,2500.0,3,5,2500.0,2516.0508930488318,1.0064203572195327,True,2516.0508930488318,0.0
Qatar Airways,QR113,Muscat,London (LHR),True,1 Stop (DOH),Economy,0,240,10.2,2023-08-05 18:07:00,2023-08-06 04:19:00,169,Summer,5,18,Afternoon,1.15,1.0,1.0,1.06,0.97,1.094,250.0,237.08,22,218,220.0,6278.322210314372,28.537828228701688,False,6093.330087037585,-7.204319217141898
Emirates,EK864,Muscat,London (LHR),True,1 Stop (DXB),First,2,8,10.3,2023-08-05 19:37:00,2023-08-06 05:55:00,52,Summer,5,19,Evening,1.15,1.0,1.0,1.05,0.97,1.001,1900.0,1594.8,2,6,2090.0,1395.431656977942,0.6676706492717427,False,1218.9574377852007,31.050915475294712
Emirates,EK864,Muscat,London (LHR),True,1 Stop (DXB),Economy,0,240,10.3,2023-08-05 19:37:00,2023-08-06 05:55:00,48,Summer,5,19,Evening,1.15,1.0,1.0,1.05,0.97,1.047,250.0,250.4,131,109,225.0,3569.915042046954,15.866289075764241,False,3420.4020510576806,-10.143769968051119
Emirates,EK864,Muscat,London (LHR),True,1 Stop (DXB),Business,1,30,10.3,2023-08-05 19:37:00,2023-08-06 05:55:00,8,Summer,5,19,Evening,1.15,1.0,1.0,1.05,0.97,1.073,850.0,1100.0,16,14,1105.0,2641.73197701935,2.390707671510724,False,2639.336930490084,0.45454545454545453
Gulf Air,GF567,Muscat,London (LHR),True,1 Stop (BAH),First,2,8,10.0,2023-08-05 21:06:00,2023-08-06 07:06:00,155,Summer,5,21,Evening,1.15,1.0,1.0,1.05,0.97,1.016,1900.0,1423.78,0,8,2090.0,1621.3701727002936,0.7757752022489443,False,1338.22913342338,46.792341513436064
Gulf Air,GF567,Muscat,London (LHR),True,1 Stop (BAH),Business,1,30,10.0,2023-08-05 21:06:00,2023-08-06 07:06:00,66,Summer,5,21,Evening,1.15,1.0,1.0,1.05,0.97,1.24,850.0,1021.15,11,19,1062.5,2272.7641462817437,2.1390721376769353,False,2254.7920255752756,4.049356118102142
Gulf Air,GF567,Muscat,London (LHR),True,1 Stop (BAH),Economy,0,240,10.0,2023-08-05 21:06:00,2023-08-06 07:06:00,155,Summer,5,21,Evening,1.15,1.0,1.0,1.05,0.97,1.184,250.0,233.57,33,207,220.0,6455.3163246239055,29.34234693010866,False,6302.600455897253,-5.80982146679796
Oman Air,WY101,Muscat,London (LHR),True,Direct,Economy,0,240,7.9,2023-08-05 22:28:00,2023-08-06 06:22:00,152,Summer,5,22,Evening,1.15,1.0,1.0,1.05,1.12,1.326,250.0,150.0,63,177,150.0,7206.383153623441,48.04255435748961,True,7206.383153623441,0.0
Oman Air,WY101,Muscat,London (LHR),True,Direct,Business,1,30,7.9,2023-08-05 22:28:00,2023-08-06 06:22:00,75,Summer,5,22,Evening,1.15,1.0,1.0,1.05,1.12,1.146,850.0,1004.07,11,19,1062.5,2041.9804286835697,1.9218639328786538,False,2019.0105384148092,5.819315386377438
Oman Air,WY101,Muscat,London (LHR),True,Direct,First,2,8,7.9,2023-08-05 22:28:00,2023-08-06 06:22:00,145,Summer,5,22,Evening,1.15,1.0,1.0,1.05,1.12,1.179,1900.0,2081.66,1,7,2090.0,1647.4067976944316,0.7882329175571443,False,1644.1165808016149,0.40064179549014467
Etihad Airways,EY342,Muscat,London (LHR),True,1 Stop (AUH),Business,1,30,10.1,2023-08-06 05:08:00,2023-08-06 15:14:00,10,Summer,6,5,Dawn,1.15,1.0,1.0,0.97,0.97,0.857,850.0,1084.11,18,12,1105.0,1755.9607326139342,1.5891047353972254,False,1749.2706697231283,1.9269262344227156
Etihad Airways,EY342,Muscat,London (LHR),True,1 Stop (AUH),First,2,8,10.1,2023-08-06 05:08:00,2023-08-06 15:14:00,172,Summer,6,5,Dawn,1.15,1.0,1.0,0.97,0.97,0.963,1900.0,1300.0,1,7,2090.0,1343.8973194598289,0.6430130715118798,False,1059.8993377378727,60.76923076923077
Etihad Airways,EY342,Muscat,London (LHR),True,1 Stop (AUH),Economy,0,240,10.1,2023-08-06 05:08:00,2023-08-06 15:14:00,140,Summer,6,5,Dawn,1.15,1.0,1.0,0.97,0.97,1.098,250.0,274.68,56,184,225.0,5279.730151542669,23.46546734018964,False,4874.767622482093,-18.086500655307997
Qatar Airways,QR113,Muscat,London (LHR),True,1 Stop (DOH),Economy,0,240,10.2,2023-08-06 12:40:00,2023-08-06 22:52:00,47,Summer,6,12,Morning,1.15,1.0,1.0,1.03,0.97,1.091,250.0,332.15,122,118,225.0,4058.4567647785625,18.037585621238055,False,3472.963574090773,-32.25952130061719
Qatar Airways,QR113,Muscat,London (LHR),True,1 Stop (DOH),First,2,8,10.2,2023-08-06 12:40:00,2023-08-06 22:52:00,157,Summer,6,12,Morning,1.15,1.0,1.0,1.03,0.97,0.954,1900.0,1474.51,0,8,2090.0,1522.27879687672,0.7283630607065645,False,1278.630078018569,41.74200242792521
Qatar Airways,QR113,Muscat,London (LHR),True,1 Stop (DOH),Business,1,30,10.2,2023-08-06 12:40:00,2023-08-06 22:52:00,94,Summer,6,12,Morning,1.15,1.0,1.0,1.03,0.97,1.009,850.0,1003.07,11,19,1062.5,1740.765006474224,1.6383670649169166,False,1720.8404592332604,5.924810830749593
Emirates,EK864,Muscat,London (LHR),True,1 Stop (DXB),First,2,8,10.3,2023-08-06 15:32:00,2023-08-07 01:50:00,139,Summer,6,15,Afternoon,1.15,1.0,1.0,1.06,0.97,1.067,1900.0,1368.32,2,6,2090.0,1278.6824450537692,0.6118097823223776,False,1034.6260219732621,52.74204864359214
Emirates,EK864,Muscat,London (LHR),True,1 Stop (DXB),Business,1,30,10.3,2023-08-06 15:32:00,2023-08-07 01:50:00,141,Summer,6,15,Afternoon,1.15,1.0,1.0,1.06,0.97,1.08,850.0,743.83,6,24,935.0000000000001,2250.2711095743716,2.406707069063499,False,2149.647551279404,25.70076495973543
Emirates,EK864,Muscat,London (LHR),True,1 Stop (DXB),Economy,0,240,10.3,2023-08-06 15:32:00,2023-08-07 01:50:00,147,Summer,6,15,Afternoon,1.15,1.0,1.0,1.06,0.97,1.193,250.0,150.0,42,198,150.0,7255.276621519524,48.36851081013016,True,7255.276621519524,0.0
Oman Air,WY223,Muscat,London (LHR),True,1 Stop (FRA),Economy,0,240,10.2,2023-08-06 17:22:00,2023-08-07 03:34:00,75,Summer,6,17,Afternoon,1.15,1.0,1.0,1.06,0.97,1.31,250.0,282.2,86,154,225.0,5550.696091892673,24.669760408411882,False,5069.879687120788,-20.269312544294824
Oman Air,WY223,Muscat,London (LHR),True,1 Stop (FRA),Business,1,30,10.2,2023-08-06 17:22:00,2023-08-07 03:34:00,59,Summer,6,17,Afternoon,1.15,1.0,1.0,1.06,0.97,1.04,850.0,1052.89,14,16,1062.5,1655.4916445806402,1.5581097831347201,False,1652.4860639808442,0.9127259257852102
Oman Air,WY223,Muscat,London (LHR),True,1 Stop (FRA),First,2,8,10.2,2023-08-06 17:22:00,2023-08-07 03:34:00,71,Summer,6,17,Afternoon,1.15,1.0,1.0,1.06,0.97,1.052,1900.0,2354.92,2,6,2354.92,1424.6299147410814,0.6049589432936496,True,1424.6299147410814,0.0
Oman Air,WY101,Muscat,London (LHR),True,Direct,First,2,8,7.9,2023-08-06 19:38:00,2023-08-07 03:32:00,52,Summer,6,19,Evening,1.15,1.0,1.0,1.05,1.12,1.214,1900.0,1883.61,3,5,2280.0,1473.011762628462,0.6460577906265185,False,1338.8572821576472,21.044165193431766
